Sample_Ratio,Detector,Expected_Peak,Found_Peak,Intensity,FWHM,Area
0% Anisole: 100 MTBE,4 mm,860,861.535965731144,9.32335809363763,9.29999999999995,68.1277795707785
100% Anisole: 0% MTBE,5 mm,860,861.535965731144,9.10219931986409,9,64.1314398834302
75% Anisole: 25% MTBE,5 mm,860,861.535965731144,8.64462027936657,9,60.9733500130723
50% Anisole: 50% MTBE,5 mm,860,861.535965731144,9.05348202608793,9,63.7104252633163
25 Anisole: 75% MTBE,5 mm,860,861.535965731144,9.32122100738369,8.69999999999993,63.8615570863265
0% Anisole: 100 MTBE,5 mm,860,861.535965731144,9.5687980307961,8.69999999999993,65.5190493419857
100% Anisole: 0% MTBE,0 mm,1600,1617.23596573114,2.04290031765925,16.8,26.7159779422964
75% Anisole: 25% MTBE,0 mm,1600,1617.23596573114,1.04778961197582,15.3,12.1939340528227
50% Anisole: 50% MTBE,0 mm,1600,1617.23596573114,1.69982369322659,16.2,21.2743516736381
25 Anisole: 75% MTBE,0 mm,1600,1617.23596573114,2.14050617061974,16.8000000000002,27.7962617464085
0% Anisole: 100 MTBE,0 mm,1600,1617.23596573114,2.1022010894441,16.8000000000002,27.1770393219927
100% Anisole: 0% MTBE,1 mm,1600,1615.73596573114,2.04855036851981,16.8,27.4556155372996
75% Anisole: 25% MTBE,1 mm,1600,1615.73596573114,1.15308679896755,15.5999999999999,13.665985442703
50% Anisole: 50% MTBE,1 mm,1600,1615.73596573114,1.77714881936656,16.5,22.987986163072
25 Anisole: 75% MTBE,1 mm,1600,1615.73596573114,2.07354725794042,16.8,27.612964294384
0% Anisole: 100 MTBE,1 mm,1600,1615.73596573114,2.14541863211629,16.8,28.0645946623612
100% Anisole: 0% MTBE,2 mm,1600,1614.23596573114,1.97650511124891,16.8,26.2990927711477
75% Anisole: 25% MTBE,2 mm,1600,1614.23596573114,1.29775542344495,15.6000000000001,15.3088577082814
50% Anisole: 50% MTBE,2 mm,1600,1614.23596573114,1.93706843957542,16.5,24.7012290236425
25 Anisole: 75% MTBE,2 mm,1600,1615.43596573114,1.93406730979399,16.5,25.3164472372451
0% Anisole: 100 MTBE,2 mm,1600,1615.43596573114,2.05707170442467,17.0999999999999,27.4885532991366
100% Anisole: 0% MTBE,3 mm,1600,1613.93596573114,1.79634821331595,16.8000000000002,24.6795031106977
75% Anisole: 25% MTBE,3 mm,1600,1613.93596573114,1.428134233187,16.1999999999998,17.9804904228761
50% Anisole: 50% MTBE,3 mm,1600,1613.93596573114,1.97699853551486,16.8000000000002,26.1001316892221
25 Anisole: 75% MTBE,3 mm,1600,1613.93596573114,1.77313600261677,17.1000000000001,24.3825478439432
0% Anisole: 100 MTBE,3 mm,1600,1613.93596573114,1.83677805237317,16.8,25.3924780824469
100% Anisole: 0% MTBE,4 mm,1600,1612.43596573114,1.80338489690399,16.5,23.3041486718312
75% Anisole: 25% MTBE,4 mm,1600,1612.43596573114,1.58203571501134,16.2,19.723582204733
50% Anisole: 50% MTBE,4 mm,1600,1612.43596573114,1.97374161034739,16.8,25.8576401183641
25 Anisole: 75% MTBE,4 mm,1600,1612.43596573114,1.75845449637879,16.5,22.737855513275
0% Anisole: 100 MTBE,4 mm,1600,1612.43596573114,1.87664413886585,16.5,24.2729395354811
100% Anisole: 0% MTBE,5 mm,1600,1612.43596573114,1.74674085018392,16.5,22.1949340590083
75% Anisole: 25% MTBE,5 mm,1600,1612.43596573114,1.74686074194601,16.2,21.8619301151833
50% Anisole: 50% MTBE,5 mm,1600,1612.43596573114,1.91603161671441,16.5,24.411397682426
25 Anisole: 75% MTBE,5 mm,1600,1613.93596573114,1.64396645335475,16.2,20.4141734191086
0% Anisole: 100 MTBE,5 mm,1600,1613.93596573114,1.80099821024387,16.5,22.9391859467306
