Sample_Ratio,Detector,Expected_Peak,Found_Peak,Intensity,FWHM,Area
0% Anisole: 100 MTBE,3 mm,1600,1613.93596573114,1.86229218394411,16.8,25.0907140834153
100% Anisole: 0% MTBE,4 mm,1600,1612.73596573114,1.83449278485053,16.8,24.1945265681156
75% Anisole: 25% MTBE,4 mm,1600,1612.43596573114,1.73292883203641,16.2,21.7879223780422
50% Anisole: 50% MTBE,4 mm,1600,1612.43596573114,1.87076405371084,16.8,24.4251435504514
25 Anisole: 75% MTBE,4 mm,1600,1613.93596573114,1.88779495090732,16.5,24.5061203986549
0% Anisole: 100 MTBE,4 mm,1600,1612.43596573114,1.82899376663256,16.8,24.129827855652
100% Anisole: 0% MTBE,5 mm,1600,1612.43596573114,1.76508058453322,16.5,22.2435677755639
75% Anisole: 25% MTBE,5 mm,1600,1612.43596573114,1.65375728354629,15.5999999999999,19.543512282942
50% Anisole: 50% MTBE,5 mm,1600,1612.43596573114,1.81215373391959,15.9000000000001,21.9934156994156
25 Anisole: 75% MTBE,5 mm,1600,1612.43596573114,1.79196704597373,16.2,22.3801798760857
0% Anisole: 100 MTBE,5 mm,1600,1612.43596573114,1.75237216081067,16.5,22.2034872575594
